gene_symbol	Transcript_ID
MLH1	ENST00000231790
MSH2	ENST00000233146
MSH3	ENST00000265081
MSH6	ENST00000234420
PMS1	ENST00000441310
PMS2	ENST00000265849
POLE	ENST00000320574
POLD1	ENST00000440232
